question,answer
ബ്രീഡർ ബ്രോയിലര്‍ കാടുകൾ എങ്ങനെ വളർത്തുന്നു?,ബ്രോയിലര്‍ കാടുകൾ മാംസാവശ്യത്തിനാണ് വളർത്തുന്നത്.
കാടമുട്ടയുടെ പ്രത്യേകതകൾ എന്തൊക്കെയാണ്?,"കാടമുട്ടയുടെ തോടിന് കട്ടികുറവായിരിക്കും, അതിനാൽ പെട്ടന്ന് പൊട്ടുന്നതിന്റെ സാധ്യതയുണ്ട്."
കാടമുട്ടയുടെ നിറം എന്താണ്?,കാടമുട്ടയുടെ തോടിന് മഞ്ഞക്കരുവിന്റെ അളവ് വെള്ളക്കരുവിനെക്കാൾ കൂടുതലാണ്.
കാടമുട്ടയുടെ വേരിയേഷനുകൾ എന്തെല്ലാമാണ്?,കാടമുട്ടക്ക് തവിട്ടു നിറമുള്ള പുള്ളികൾ ഉണ്ടാകും.
കാടമുട്ട എന്തു സമയം വരെ മുട്ടം ഇടുന്നു?,കാടമുട്ട 4½ മാസത്തെ പ്രായത്തിൽ ഏറ്റവും കൂടുതലായിരിക്കും.
കാടമുട്ടയുടെ ഇൻക്യുബേറ്റർ പ്രക്രിയ എങ്ങനെ?,കാടമുട്ട 18 ദിവസം കൊണ്ട് ഇൻക്യുബേറ്റർ വഴി വിരിഞ്ഞ് കുഞ്ഞുങ്ങൾ പുറത്തുവരുന്നു.
കാടക്കുഞ്ഞുങ്ങളെ എങ്ങനെ വളർത്തണം?,കാടക്കുഞ്ഞുങ്ങളെ ബ്രൂഡർ ഉപയോഗിച്ച് വളർത്തുന്നു.
കാടക്കുഞ്ഞുങ്ങളുടെ വളർച്ചക്ക് വേണ്ട ചൂട് എത്ര?,"ആദ്യ ദിവസം 1000 ഫാരൻഹീറ്റ് ചൂട് വേണം, ക്രമേണ 700 ആക്കണം."
കാടക്കുഞ്ഞുങ്ങളെ എത്ര സമയം ബ്രൂഡറിൽ വെക്കണം?,"കണ്ടിയും 3 ആഴ്ച കഴിഞ്ഞാൽ, കുഞ്ഞുങ്ങളെ ബ്രൂഡറിൽ നിന്ന് മാറ്റാം."
ഒരു ചതുരശ്ര അടിസ്ഥാനത്ത് എത്ര കാടക്കുഞ്ഞുങ്ങളെ വളർത്താം?,ഒരു ചതുരശ്ര അടിസ്ഥാനത്ത് 5-6 കാടക്കുഞ്ഞുങ്ങളെ വളർത്താം.
കാടക്കാഴ്ചവന് എത്ര തീറ്റ വേണം?,ഒരു ദിവസം 25 ഗ്രാം തീറ്റ വേണം.
"കാടക്കോഴി, ഇറച്ചിക്കോഴിയ്ക്ക് അതേ തീറ്റ ഉപയോഗിക്കാമോ?","അതെ, ഇറച്ചിക്കോഴിക്കും, കാടക്കോഴിക്കും സമാനമായ തീറ്റ നൽകാവുന്നതാണ്."
പകലും രാത്രി കൂടി ലൈറ്റ് നൽകിയാൽ എന്താണ് സംഭവിക്കുന്നത്?,"പകലും രാത്രി കൂടി ലൈറ്റ് നൽകിയാൽ, കാടക്കൊഴികൾ 2 മാസത്തിനകം പ്രായപൂര്‍ത്തിയാവും."
കാടകുഞ്ഞുങ്ങളുടെ വളർച്ച എങ്ങനെ എളുപ്പമാക്കാം?,"ചൂട്, ലൈറ്റ്, പരിചയപൂർവ്വം മാറ്റുക, വളർച്ചക്ക് അനുകൂലമായ വ്യവസ്ഥകൾ ഉറപ്പാക്കുക."
കാടക്കോഴികളുടെ ഉല്പാദനക്ഷമത എങ്ങനെ മെച്ചപ്പെടുത്താം?,ഭക്ഷണവും പാരിസ്ഥിതിക സാഹചര്യങ്ങളും മികച്ച രീതിയിൽ ക്രമീകരിക്കുക.
കാടക്കോഴിയുടെ പ്രായപരിധി എത്ര?,കാടക്കോഴി മുട്ടയ്ക്കായി 1 വർഷം വരെ പ്രയോജനം തരാം.
കാടക്കോഴിയുടെ സ്വഭാവം എന്താണ്?,"കാടക്കോഴി പരിസ്ഥിതിയിൽ മിടുക്കായ, ജാഗ്രതയുള്ള, കൂട്ടത്തോടെ വളരുന്ന പക്ഷിയാണ്."
ബ്രൂഡറിൽ കുട്ടികളടക്കം എത്ര കാടക്കുഞ്ഞുങ്ങളെ വെക്കാം?,ബ്രൂഡറിൽ 250 കാടക്കുഞ്ഞുങ്ങളെ വളർത്താവുന്നതാണ്.
കോഴി വളർത്തലിന് എങ്ങനെ ഒരു മികച്ച ആധാരം ഒരുക്കാം?,"ഭക്ഷണശ്രദ്ധയും, ശരിയായ ഭൌതിക പാരിസ്ഥിതിയും, പ്രായക്രമവും, പരിപാലനവും മുൻഗണന നൽകണം."
കാടപ്പക്ഷികളിൽ എത്ര പ്രായത്തിൽ മുട്ടയിടാൻ തുടങ്ങുന്നു?,കാടപ്പക്ഷികൾ 4½ മാസത്തിൽ മുട്ടയിടാൻ തുടങ്ങുന്നു.
കാടക്കോഴിയുടെ മുട്ടത്തോടു ബന്ധമുള്ള മറ്റ് വ്യത്യാസങ്ങൾ എന്തൊക്കെയാണ്?,"കാടമുട്ടയ്ക്ക് മഞ്ഞക്കരുവിന്റെ അളവ് കൂടുതൽ, തോടിന് കട്ടികുറവ്, പെട്ടന്ന് പൊട്ടുമെന്ന കാര്യം."
കാടവൃക്കൾ വളരുമ്പോൾ എങ്ങനെ പരിചരിക്കണം?,"പക്ഷികളെ സ്ഥിരമായി ചൂടും, ഭക്ഷണവും, ശുചിത്വവും നൽകിയാൽ വളർച്ച എളുപ്പവും ആരോഗ്യം ഉറപ്പാക്കാം."
കാലിവസന്ത എന്നത് എന്ത് രോഗമാണ്?,"കാലിവസന്ത (റിന്റര്‍പെസ്റ്റ്) ഒരു വൈറസ് രോഗമാണ്, ഇതിന് കന്നുകാലികള്‍ക്ക് തീറ്റ കഴിക്കാന്‍ മടിയും, പാനിയും, വയറിളക്കം, കഷ്ടമായ ദുർഗന്ധമുള്ള അവസ്ഥ എന്നിവ കാണപ്പെടുന്നു."
കുളമ്പുരോഗത്തിന്റെ ലക്ഷണങ്ങള്‍ എന്തെല്ലാമാണ്?,"കുളമ്പുരോഗം (ഫുട്ട് ആന്റ് മൗത്ത് ഡിസീസ്) ൽ പനി, വായില്‍ നിന്ന് നൂലുപോലെ ഉമിനീരൊഴുക്കല്‍, കാല്‍കുടച്ചില്‍, തീയറ്റയെടുക്കാതിരിക്കുക, വായിലും നാക്കിലും പൊള്ളലുകള്‍ എന്നിവ കാണപ്പെടുന്നു."
അടപ്പന്‍ (ആന്താക്‌സ്) എന്നത് എന്ത് രോഗമാണ്?,"അടപ്പന്‍ (ആന്താക്‌സ്) എന്നത് ഒരു ബാക്ടീരിയ മൂലമാണ് ഉണ്ടാകുന്നത്, ഇതിന് പനി, ശ്വാസദ്വാരങ്ങളില്‍ രക്തസ്രാവം, മെറ്റബോളിസം കുറയുക തുടങ്ങിയ ലക്ഷണങ്ങള്‍ കാണപ്പെടുന്നു."
കുരലടപ്പന്‍ (ഹെമറേജിക് സെപ്റ്റിസീമിയ) എന്നത് എന്താണ്?,"കുരലടപ്പന്‍ (ഹെമറേജിക് സെപ്റ്റിസീമിയ) മഴക്കാലത്ത് ഉണ്ടാകുന്ന ഒരു ബാക്ടീരിയ പോഷിതമായ പകര്‍ച്ചവ്യാധിയാണ്, ഇതിന് പനി, ശ്വാസക്കഴിവ്, രക്തസ്രാവം എന്നിവയുള്ള ലക്ഷണങ്ങള്‍ കാണപ്പെടുന്നു."
കരിങ്കാല്‍ എന്നത് എന്ത് രോഗമാണ്?,"കരിങ്കാല്‍ ഒരു ബാക്ടീരിയ മൂലമാണ് ഉണ്ടാകുന്നത്, ഇതിന് പനി, ശരീരത്തിന്റെ മാംസളമായ ഭാഗങ്ങളില്‍ തടസ്സങ്ങള്‍, അമര്‍ത്തുമ്പോള്‍ വായൂനിറഞ്ഞ ശബ്ദം എന്നിവ കാണപ്പെടുന്നു."
മൃഗസംരക്ഷണ വകുപ്പിന്റെ കീഴില്‍ കര്‍ഷകര്‍ക്ക് എവിടെ പരിശീലനം ലഭിക്കുന്നു?,"മൃഗസംരക്ഷണ വകുപ്പിന്റെ കീഴില്‍ കര്‍ഷകര്‍ക്ക് ലൈവ് സ്റ്റോക്ക് മാനേജ്‌മെന്റ് ട്രെയിനിംഗ് സെന്റര്‍(കൊടപ്പനക്കുന്ന്, തിരുവനന്തപുരം, ആലുവ, എറണാകുളം, മുണ്ടയാട്, കണ്ണൂര്‍) എന്നിവിടങ്ങളില്‍ പരിശീലനം ലഭിക്കുന്നു."
"കോഴിക്കുഞ്ഞുങ്ങള്‍, മുട്ട ലഭിക്കുന്ന സര്‍ക്കാര്‍ സ്ഥാപനങ്ങള്‍ എവിടെയാണു?","കോഴിക്കോട്, കണ്ണൂര്‍, എറണാകുളം, കോട്ടയം, ആലപ്പുഴ, കൊല്ലം, തിരുവനന്തപുരം തുടങ്ങിയ ജില്ലകളില്‍ സര്‍ക്കാര്‍ സ്ഥാപനങ്ങളില്‍ കോഴിക്കുഞ്ഞുങ്ങള്‍ മുട്ട ലഭിക്കുന്നു."
ടര്‍ക്കി കോഴികള്‍ക്കുള്ള തീറ്റ എവിടെ ലഭ്യമാണ്?,"ടര്‍ക്കി കോഴികള്‍ക്കുള്ള തീറ്റ ആലപ്പുഴ ജില്ലയിലെ സെന്‍ട്രല്‍ ഹാച്ചറി, കോട്ടയം ജില്ലയിലെ പ്രാദേശിക കോഴിവളര്‍ത്തല്‍ കേന്ദ്രം എന്നിവിടങ്ങളില്‍ ലഭ്യമാണ്."
പാല്‍ ഗുണനിലവാര പരിശോധന എവിടെയാണ് നടത്തപ്പെടുന്നത്?,"പാല്‍ ഗുണനിലവാര പരിശോധന തിരുവനന്തപുരം, കൊല്ലം, ആലപ്പുഴ, എറണാകുളം, മലപ്പുറം, കോഴിക്കോട് തുടങ്ങിയ ജില്ലകളില്‍ നടത്തുന്ന പാല്‍ പരിശോധനാ ലാബുകളിലൂടെ നടത്തപ്പെടുന്നു."
പ്രതിരോധ കുത്തിവയ്പുകള്‍ എന്തിന്റെ പ്രതിരോധത്തിനാണ്?,"പ്രതിരോധ കുത്തിവയ്പുകള്‍ കന്നുകാലികള്‍ക്ക് ഉണ്ടാകുന്ന പകര്‍ച്ചവ്യാധികള്‍ (കാലിവസന്ത, കുളമ്പുരോഗം, അടപ്പന്‍, കുരലടപ്പന്‍, കരിങ്കാല്‍ തുടങ്ങിയവ) പ്രതിരോധിക്കുന്നതിനാണ്."
ആന്താക്‌സ് രോഗം എങ്ങനെ തടയാം?,ആന്താക്‌സ് രോഗം പ്രതിരോധ കുത്തിവയ്പ് നടത്തുന്നതിലൂടെ തടയാവുന്നതാണ്.
കോഴിക്കുഞ്ഞുങ്ങള്‍ എങ്ങനെ വളര്‍ത്താം?,"കോഴിക്കുഞ്ഞുങ്ങള്‍ ബ്രൂഡറിന്റെ സഹായത്തോടെ വളര്‍ത്തണം, 250 കുഞ്ഞുങ്ങള്‍ക്ക് 60 വാട്ട് 6 ബള്‍ബുകള്‍ ഉപയോഗിച്ച് ചൂട് നല്‍കണം."
കാട്ടക്കോഴി എങ്ങനെ വളര്‍ത്തും?,"കാട്ടക്കോഴി മുട്ടയ്ക്കും ഇറച്ചിക്കുമുള്ള വ്യത്യസ്ത തരത്തിലുള്ള കോഴികളായാണ് വളര്‍ത്തപ്പെടുന്നത്, ഇവക്ക് 6 ആഴ്ചയില്‍ മുട്ടയിടാന്‍ തുടങ്ങുന്നു."
കാടക്കോഴിക്ക് എത്ര ഗ്രാം തീറ്റ ആവശ്യമാണ്?,കാടക്കോഴിക്ക് ഒരു ദിവസം 25 ഗ്രാം തീറ്റ ആവശ്യമാണ്.
കോഴിയുടെ മുട്ടതോടിന്റെ പ്രത്യേകത എന്താണ്?,"കോഴിയുടെ മുട്ടതോടിന്റെ പ്രത്യേകത, മഞ്ഞക്കരുവിന്റെ അളവ് വെള്ളക്കരുവിനെക്കാള്‍ കൂടുതലായിരിക്കും, ഇതിന്റെ തോട് പെട്ടെന്ന് പൊട്ടുവാന്‍ സാധ്യതയുള്ളതാണ്."
ലോക്ക് ഡൗണിനിടെ ദ്വാരപ്രവേശം എങ്ങനെയാണ്?,"ലോക്ക് ഡൗണിനിടെ ദ്വാരപ്രവേശം നടപ്പിലാക്കുന്നതിന് നിരോധനങ്ങളും, നിയന്ത്രണങ്ങളും ഉണ്ടായിരിക്കാം, സുരക്ഷിതമായ ഉപകരണങ്ങളും, ഉല്‍പ്പന്നങ്ങളുമുള്ള വഴികളും ഒരുക്കിയിരിക്കുക."
കോഴിയുടെ മുട്ട ലഭിക്കുന്ന സര്‍ക്കാര്‍ സ്ഥാപനങ്ങള്‍ എവിടെയാണ്?,"കോഴിയുടെ മുട്ട ലഭിക്കുന്ന സര്‍ക്കാര്‍ സ്ഥാപനങ്ങള്‍ തിരുവനന്തപുരം, കൊല്ലം, ആലപ്പുഴ, എറണാകുളം, കോട്ടയം, മലപ്പുറം, കോഴിക്കോട് ജില്ലകളില്‍ പ്രവര്‍ത്തിക്കുന്നു."
പാലിന്റെ ഗുണനിലവാരം എങ്ങനെ ഉറപ്പുവരുത്തുന്നു?,"പാലിന്റെ ഗുണനിലവാരം, വിവിധ പാല്‍ ഗുണനിലവാര പരിശോധനാ ലാബുകളില്‍ പരിശോധന നടത്തി, ആവശ്യമായ പരിഹാരങ്ങള്‍ നല്‍കുന്നു."
കുരലടപ്പന്‍ രോഗത്തിന് എന്തെല്ലാം ലക്ഷണങ്ങള്‍ കാണപ്പെടും?,"കുരലടപ്പന്‍ (ഹെമറേജിക് സെപ്റ്റിസീമിയ) രോഗത്തിന് പനി, തീറ്റയെടുക്കാതിരിക്കുക, ശ്വാസോഛ്വോസത്തിന് വിമ്മിഷ്ടം, രക്തം കലര്‍ന്ന വയറിളക്കവും കാണപ്പെടുന്നു."
കോഴി വളര്‍ത്തല്‍ കേന്ദ്രങ്ങളുടെ ഉപയോഗം എന്താണ്?,"കോഴി വളര്‍ത്തല്‍ കേന്ദ്രങ്ങള്‍ കോഴികളുടെ മുട്ട, കോഴിക്കുഞ്ഞുങ്ങള്‍, തീറ്റ തുടങ്ങിയവയുടെ ലഭ്യത ഉറപ്പാക്കുന്നു."
കണ്ടെടുത്ത മൃഗസംരക്ഷണപദ്ധതികള്‍ എവിടെ നടപ്പിലാക്കുന്നു?,"മൃഗസംരക്ഷണപദ്ധതികള്‍ സംസ്ഥാനമാത്രത്തിലും, ജില്ലാ തലത്തില്‍ പ്രാവര്‍ത്തികമാക്കുന്ന നിലയില്‍ നടപ്പിലാക്കുന്നു."
പാല്‍ ഉല്പ്പാദന ചെലവ് കുറച്ച് ആദായകരമാക്കാനുള്ള ശ്രമങ്ങള്‍ എങ്ങനെ നടപ്പിലാക്കുന്നു?,പാലിന്റെ ഉല്പ്പാദന ചെലവ് കുറച്ച് പാലുല്പ്പാദനം ആദായകരമാക്കാനുള്ള ശ്രമത്തിന്റെ ഭാഗമായിട്ടാണ് പുല്‍കൃഷി വ്യാപിപ്പിക്കാനുള്ള പ്രവര്‍ത്തനങ്ങള്‍ക്ക് ക്ഷീരവികസന വകുപ്പ് മുന്‍തൂക്കം നല്കിയിരിക്കുന്നത്.
പുല്‍കൃഷി നടപ്പിലാക്കുന്നതിനുള്ള നടപടികള്‍ എന്തെല്ലാമാണ്?,കർഷകരുടെ കൃഷിയിടങ്ങളില്‍ പുല്‍കൃഷി പരിപാടി നടപ്പിലാക്കുന്നതിനായി വിവധയിനം പുല്ലിനങ്ങളുടെ വിത്തുകള്‍ 50% സൗജന്യനിരക്കില്‍ വിതരണം നടത്തിവരുന്നു.
കർഷകർക്ക് ലഭിക്കുന്ന സബ്‌സിഡികൾ എത്ര?,"ഹെക്ടറിന് 500 രൂപായുടെ വളവും, 700 രൂപാ നിരക്കില്‍ മക്കച്ചോളം കൃഷി, 300 രൂപാ നിരക്കില്‍ വന്‍പയര്‍ കൃഷിക്ക് രാസവളം സബ്‌സിഡിയായി വിതരണം ചെയ്യുന്നു."
പുല്‍കൃഷി നടത്തി കൊണ്ടിരിക്കുന്ന കര്‍ഷകര്‍ക്ക് ലഭിക്കുന്ന ധനസഹായം എന്താണ്?,കുറഞ്ഞത് 10 സെന്റ് ഭൂമിയെങ്കിലും പുല്‍കൃഷി നടത്തിയിട്ട് ഉള്ള കര്‍ഷകര്‍ ഈ ധനസഹായപദ്ധതിയുടെ ആനുകൂല്യത്തിന് അര്‍ഹരാണ്.
മാതൃകാ പുല്‍കൃഷി പ്രദര്‍ശനത്തോട്ടങ്ങളുടെ പ്രയോജനം എന്താണ്?,ക്ഷീരകര്‍ഷകരുടെ കൃഷിയിടങ്ങളില്‍ തീറ്റപ്പുല്‍കൃഷി പ്രചരിപ്പിക്കുന്നതിനുള്ള പദ്ധതിയാണിത്.
സൈലേജ് നിര്‍മ്മാണ പദ്ധതി എന്താണ്?,പച്ചപ്പുല്ല് സൈലേജ് ആക്കി സംസ്‌കരിച്ച് സൂക്ഷിച്ച് പച്ചപ്പുല്ലിന് ദൗര്‍ല്യഭ്യമുള്ള കാലത്ത് ഉപയോഗപ്പെടുത്തുന്ന പദ്ധതി.
വാണിജ്യാടിസ്ഥാനത്തിലുള്ള തീറ്റപ്പുല്‍കൃഷി വികസന പദ്ധതിയുടെ പ്രധാന ലക്‌ഷ്യം എന്താണ്?,സംസ്ഥാനത്ത് തീറ്റപ്പുല്‍ ഉല്പാദിപ്പിച്ച് ക്ഷീരോല്പ്പാദകര്‍ക്ക് വിപണനം നടത്തുക.
ക്ഷീരമേഖലയില്‍ പരിശീലനസംവരണം എങ്ങനെയാണ്?,പരിശീലന സൗകര്യങ്ങൾ സംസ്ഥാനത്തുടനീളം വിവിധ കേന്ദ്രങ്ങളിൽ ആരംഭിച്ചിട്ടുണ്ട്.
സാധാരണ കര്‍ഷകര്‍ക്ക് ഏത് പരിശീലനം ലഭിക്കുന്നു?,സാധാരണ കര്‍ഷകര്‍ക്കുള്ള ഒരാഴ്ചത്തെ പരിശീലനം (കുകാലിവളര്‍ത്തലും ക്ഷീരോല്പാദനവും).
അഭ്യസ്തവിദ്യരായ യുവാക്കള്‍ക്കുള്ള പരിശീലനം എത്ര മാസം?,അഭ്യസ്തവിദ്യരായ യുവാക്കള്‍ക്കുള്ള ഒരുമാസത്തെ പരിശീലനം (കുകാലിവളര്‍ത്തലും ക്ഷീരോല്പാദനവും).
ക്ഷീരസഹകരണസംഘങ്ങളിലെ ജീവനക്കാര്‍ക്ക് എത്ര ദിവസത്തെ പരിശീലനം?,"രണ്ട് ആഴ്ചക്കാലത്തെ പരിശീലനം (സംഘങ്ങളുടെ ഭരണവും, പാലിന്റെ ഗുണനിലവാര പരിശോധന, നാടന്‍ ക്ഷീരോല്പങ്ങളുടെ നിര്‍മ്മാണം)."
വീട്ടമ്മമാര്‍ക്കും അഭ്യസ്തവിദ്യരുമായ വനിതകള്‍ക്കുള്ള പരിശീലനം എന്തെന്താണ്?,"നാടന്‍ ക്ഷീരോല്പ ങ്ങളുടെ നിര്‍മ്മാണം, വിപണനം എന്നിവയെ സംബന്ധിച്ച പരിശീലനം."
പശുവിന്റെ വിവിധ വശങ്ങള്‍ മനസ്സിലാക്കുന്നതിനുള്ള പരിശീലന പദ്ധതി എന്താണ്?,കറവപ്പശു വിതരണത്തിന് പട്ടികജാതി / പട്ടി കവര്‍ഗ്ഗക്കാരായ ഗുണഭോക്താക്കള്‍ക്ക് പശുപരിപാലനത്തിന്‍റെ വിവിധ വശങ്ങള്‍ മനസ്സിലാക്കി കൊടുക്കുന്ന പരിശീലനം.
നാടന്‍ പാലുല്പന്നങ്ങള്‍ ഉണ്ടാക്കുന്നതിന് എങ്ങനെ പരിശീലനം നല്‍കുന്നു?,ഡയറി പരിചീനകേന്ദ്രങ്ങളില്‍ നാടന്‍ പാലുല്പന്നങ്ങള്‍ ഉണ്ടാക്കുന്നതിനുള്ള പരിശീലനസൗകര്യം ഒരുക്കിയിട്ടുണ്ട്.
നാടന്‍ പാലുല്പന്നങ്ങളുടെ വിപണനം എങ്ങനെയാണ്?,നാടന്‍ പാലുല്പന്നങ്ങളുടെ വിപണനം ക്ഷീര സംഘങ്ങള്‍ക്കും സന്നദ്ധ മഹിളാസംഘടനകള്‍ക്കും ഏറ്റെടുത്ത് വിപുലമായ തോതില്‍ നടത്താവുന്നതാണ്.
നാടന്‍ ക്ഷീരോല്പങ്ങളുടെ പ്രാധാന്യം എന്താണ്?,പാലിന്റെയും പാലുല്പങ്ങളുടെയും ഉപഭോഗം വര്‍ദ്ധിപ്പിക്കുന്നതിന് നാടന്‍ വിവിധങ്ങളായ പാലുല്പന്നങ്ങള്‍ പ്രചരിപ്പിക്കേണ്ടതാണ്.
പുള്‍കൃഷി നടത്തിയിട്ടുള്ള കര്‍ഷകര്‍ക്ക് ഏത് അവകാശങ്ങള്‍ ലഭിക്കും?,പുള്‍കൃഷി നടത്തിയിട്ടുള്ള കര്‍ഷകര്‍ ധനസഹായപദ്ധതിയുടെ ആനുകൂല്യത്തിന് അര്‍ഹരാണ്.
പാല്‍ ഉല്പ്പാദന വാണിജ്യ പദ്ധതി എന്ത്?,"ഇത്, ക്ഷീരസഹകരണസംഘങ്ങള്‍ മുഖേന വലിയ തോതില്‍ നിര്‍മ്മിച്ച പാലു സമ്പത്ത് വിപണനത്തിന് എത്തിക്കുന്ന പദ്ധതി."
സൈലേജ് പദ്ധതി പ്രയോജനം എന്ത്?,പച്ചപ്പുല്ല് സൈലേജ് ആക്കി സൂക്ഷിച്ച് ദൗര്‍ല്യഭ്യമായ കാലത്ത് അത് ഉപയോഗപ്പെടുത്താവുന്ന പദ്ധതി.
പശു വളര്‍ത്തലും കഷിരോല്പാദനവും എങ്ങനെ പുരോഗമിക്കും?,പശു വളര്‍ത്തലും ക്ഷീരോല്പാദനവും സംബന്ധിച്ച ഓരോ വിഭാഗത്തിനും പ്രത്യേക പരിശീലന പരിപാടി ആസൂത്രണം ചെയ്തിട്ടുണ്ട്.
പച്ച മുളക് കൃഷി എങ്ങനെ ചെയ്യാം?,പച്ച മുളക് കൃഷി എളുപ്പത്തില്‍ കൃഷി ചെയ്യാവുന്ന ഒന്നാണ്. ടെറസിലോ അല്ലെങ്കില്‍ ചെറിയ സ്ഥലം കൂടിയായിരുന്നാലും ഇത് വളരെ കുറഞ്ഞ ബുദ്ധിമുട്ടോടെ ചെയ്യാവുന്നതാണ്.
ഇന്ത്യന്‍ പച്ച മുളക് സൗദി സര്‍ക്കാര്‍ നിരോധിച്ച കാര്യം എന്താണ്?,അനുവദിക്കപ്പെട്ടതിൽ കൂടുതൽ കീടനാശിനികളുടെ സാന്നിധ്യം കണ്ടെത്തിയതിനെ തുടർന്ന് സൗദി സർക്കാർ ഇന്ത്യയിലെ പച്ച മുളക് നിരോധിച്ചാണ്.
പച്ച മുളക് കൃഷിക്ക് ഏറ്റവും അനുയോജ്യമായ സമയം എപ്പോൾ?,"മെയ് – ജൂൺ, ആഗസ്റ്റ് – സെപ്റ്റംബർ, ഡിസംബർ – ജനുവരി ആണ് പച്ച മുളക് കൃഷിക്ക് ഏറ്റവും ഉത്തമമെന്ന് പറയപ്പെടുന്നു."
പച്ച മുളകിന്റെ പ്രധാന ഇനങ്ങൾ ഏതൊക്കെ?,"പച്ച മുളകിന്റെ പ്രധാന ഇനങ്ങൾ: അനുഗ്രഹ (പച്ചനിറം, എരിവ് കുറവ്), ഉജ്ജ്വല (ചുവപ്പ് നിറം, എരിവു കൂടുതലായത്), മഞ്ജരി, ജ്വാലാമുഖി."
അനുഗ്രഹ പച്ച മുളകിന്റെ പ്രത്യേകത എന്താണ്?,അനുഗ്രഹ പച്ച മുളക് പച്ചനിറത്തിലും എരിവ് കുറവുള്ളവയാണ്.
ഉജ്ജ്വല പച്ച മുളകിന്റെ പ്രത്യേകത എന്താണ്?,ഉജ്ജ്വല പച്ച മുളക് ചുവപ്പ് നിറത്തിലും എരിവ് കൂടുതലായവയാണ്.
"മഞ്ജരി, ജ്വാലാമുഖി പച്ച മുളകുകളുടെ പ്രത്യേകത എന്താണ്?","മഞ്ജരി, ജ്വാലാമുഖി പച്ച മുളകുകൾ മികച്ച ഇനങ്ങളിൽപ്പെട്ടവയാണ്."
പച്ച മുളക് കൃഷിക്ക് എന്താണ് പ്രധാന മാനദണ്ഡങ്ങൾ?,"പച്ച മുളക് കൃഷി ചെയ്യുന്നതിനുള്ള പ്രധാന മാനദണ്ഡങ്ങൾ - ശരിയായ കാലാവസ്ഥ, കൃഷിക്ക് അനുയോജ്യമായ മണ്ണ്, വെള്ളപ്പൊക്കവും വേനലിലും ചെലവില്ലാത്ത ഫാമുകള്‍."
പച്ച മുളക് കൃഷിക്ക് ഉപയോഗിക്കേണ്ട മണ്ണിന്റെ അവസ്ഥ എങ്ങനെയാണ്?,"പച്ച മുളക് കൃഷിക്ക് ഉപയോഗിക്കേണ്ട മണ്ണ് നല്ലത്, പഴകിയ ഹ്യൂമസ് അടങ്ങിയ മണ്ണാണ്."
പച്ച മുളക് കൃഷിയിൽ വിത്തുകൾ എങ്ങനെ തിരഞ്ഞെടുക്കാം?,"അനുയോജ്യമായ നല്ല പച്ച മുളക് വിത്തുകൾ (ജ്വാലാമുഖി, ഉജ്ജ്വല തുടങ്ങിയവ) തിരഞ്ഞെടുക്കേണ്ടതാണ്."
പച്ച മുളക് കൃഷി ചെയ്ത് എങ്ങനെ സംരക്ഷണം നടത്താം?,"പച്ച മുളക് കൃഷിയിൽ കീടനാശിനികൾ മാത്രം കുറഞ്ഞ അളവിൽ ഉപയോഗിക്കുക, മാത്രമല്ല, മുളക് വിളയേറിയ സമയത്ത് ആവശ്യമായ പരിചരണങ്ങൾ നൽകുക."
പച്ച മുളക് കൃഷിക്ക് ആവശ്യമായ ആഴത്തിലുള്ള വെള്ളം എത്ര?,പച്ച മുളക് കൃഷിക്ക് 3-4 ഇഞ്ച് ആഴത്തിലുള്ള വെള്ളം ആവശ്യമാണ്.
പച്ച മുളക് കൃഷിക്ക് എത്ര സമയം വേണം?,പച്ച മുളക് കൃഷി സാധാരണയായി 3-4 മാസം കൊണ്ട് വിളവെടുപ്പ് ചെയ്യാവുന്നതാണ്.
പച്ച മുളക് കൃഷി ചെയ്തു എത്ര നേട്ടം പ്രതീക്ഷിക്കാം?,"പച്ച മുളക് കൃഷി കൂടുതൽ കരുതലോടെയും, കൃത്യമായ രീതിയിലുള്ള പരിചരണത്തോടെ എളുപ്പത്തിൽ നല്ല നേട്ടം നൽകുന്നു."
പച്ച മുളക് കൃഷി സംബന്ധിച്ചുള്ള സാങ്കേതികവിദ്യ എന്താണ്?,"പച്ച മുളക് കൃഷി സംബന്ധിച്ച സാങ്കേതികവിദ്യയിൽ ഉയർന്ന മാനദണ്ഡങ്ങളിൽ എണ്ണിയതിനാൽ, പച്ച മുളക് വ്യവസായത്തിലെ വിജയകരമായ കൃഷിയാണ്."
പച്ച മുളക് കൃഷി ചെയ്യുന്നവർക്ക് എന്തെല്ലാം പ്രയോജനങ്ങൾ ലഭിക്കും?,"പച്ച മുളക് കൃഷി ചെയ്യുന്നതിലൂടെ ഉറപ്പുള്ള വരുമാനവും, ആരോഗ്യമുള്ള പച്ചക്കറിയുടെയും വിപണനത്തിനും ലഭിക്കും."
പച്ച മുളക് കൃഷിക്ക് എത്ര സബ്സിഡി ലഭിക്കാം?,"പ്രത്യേക പദ്ധതികളുടെ ഭാഗമായി, പച്ച മുളക് കൃഷിക്ക് ചെലവ് കുറയ്ക്കുന്നതിനുള്ള ധനസഹായം ലഭ്യമാണ്."
